"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
11752.908756494522,24.067483425363076,20.00011469324104,0.1514838411722879,221.2871309884196,0.03787096029307197,55.3217827471049,""
11755.158756494522,24.067793747864712,20.000105088132877,0.15121410530320079,221.6276661782045,0.037803526325800196,55.40691654455112,""
11757.783756494522,24.068155790783287,20.000093882173346,0.15089556116950628,222.02418511544994,0.03772389029237657,55.506046278862485,""
11761.158756494522,24.068621274535737,20.00007947451109,0.15047720309716964,222.53275165514995,0.03761930077429241,55.63318791378749,""
11763.158756494522,24.068897116759413,20.000070936637165,0.150226212762537,222.83345507100967,0.03755655319063425,55.70836376775242,""
11765.908756494522,24.069276399816964,20.000059197060516,0.14987479658136557,223.24609395885753,0.03746869914534139,55.81152348971438,""
11769.283756494522,24.069741883569417,20.00004478939826,0.14943857626813842,223.75118527554108,0.037359644067034604,55.93779631888527,""
11773.158756494522,24.07027632787779,20.000028247267526,0.14892640778729177,224.32926743214847,0.03723160194682294,56.08231685803712,""
11776.533756494522,24.070741811630242,20.000013839605273,0.14847395051037415,224.8311305367758,0.03711848762759354,56.20778263419395,""
11779.347233057022,24.07112984944587,20.00000182905118,0.14808866767132528,225.24830467259736,0.03702216691783132,56.31207616814934,""
11780.784733057022,24.071328111044135,19.999993605513392,0.14789002653604233,225.46089680837702,0.03697250663401058,56.365224202094254,""
11782.408756494522,24.071552098162286,19.99998431492688,0.14766552035745634,225.70104583361606,0.036916380089364084,56.425261458404016,""
11785.408756494522,24.071965861497798,19.999967152761062,0.14724461456986226,226.14341103600705,0.036811153642465566,56.53585275900176,""
11787.096256494522,24.073464731190246,19.99995749904279,0.14700513847327062,226.3914822071807,0.036751284618317656,56.597870551795175,""
11788.783756494522,24.075322630998826,19.999947845324517,0.14676566237667898,226.63955337835435,0.036691415594169746,56.65988834458859,""
11792.158756494522,24.07903843061598,19.99992853788797,0.14627829859916547,227.1340650625011,0.03656957464979137,56.78351626562527,""
11795.783756494522,24.083029474649223,19.999907800270943,0.14574754658536124,227.66336190689805,0.03643688664634031,56.91584047672451,""
11798.408756494522,24.08591954101812,19.999892783375852,0.14535804732795538,228.04543799890928,0.036339511831988844,57.01135949972732,""
11801.408756494522,24.08922247401115,19.999875621210034,0.14490785894680544,228.48083685832142,0.03622696473670136,57.120209214580356,""
11804.158756494522,24.092250162588094,19.9998598892247,0.1444905064840348,228.87875961078882,0.0361226266210087,57.219689902697205,""
11807.158756494522,24.09555309558112,19.999842727058883,0.1440310289290726,229.31154191390848,0.03600775723226815,57.32788547847712,""
11810.408756494522,24.099131272990235,19.99982413471258,0.14352845521095517,229.77882607563603,0.03588211380273879,57.44470651890901,""
11813.783756494522,24.102847072607393,19.999804827276034,0.14300113518442858,230.26234475942823,0.035750283796107146,57.56558618985706,""
11817.158756494522,24.10656287222455,19.999785519839488,0.14246633895971236,230.74407112204648,0.03561658473992809,57.68601778051162,""
11819.908756494522,24.109590560801493,19.999769787854156,0.14202712092678563,231.13524962939042,0.03550678023169641,57.783812407347604,""
11823.158756494522,24.113168738210604,19.99975119550785,0.14150076404119297,231.59598244246337,0.03537519101029824,57.89899561061584,""
11827.283756494522,24.11771027107602,19.99972759752985,0.14082905862022949,232.17828770170257,0.03520726465505737,58.04457192542564,""
11831.158756494522,24.121976559525347,19.999705429732337,0.14018872438775815,232.72275965628054,0.035047181096939536,58.180689914070136,""
